Site,Depth_m,Temperature,Habitat,Habitat_simplified,Aspect_descriptive,Aspect_scale,Benthic_Complexity,browser,cleaner,corallivore,cropper/grazer,detritivore,excavator,macro-invertivore,micro-invertivore,NA,pisci-invertivore,piscivore,planktivore,scraper,spongivore,omnivore,invertivore-sessile,invertivore-mobile,All_herbs
ASHM-01,31,28.62,outer_slope,outer_slope,moderate_slope,2,4,0,0,2,8,1,1,7,10,11,2,0,70,11,0,8,1,0,21
ASHM-01,37,28.65,outer_slope,outer_slope,gentle_slope,1,3,0,0,1,7,0,0,7,17,18,4,1,114,1,1,12,0,0,8
ASHM-01,38,28.64,outer_slope,outer_slope,gentle_slope,1,2.5,0,0,1,7,0,0,3,9,5,7,0,37,0,0,0,0,0,7
ASHM-01,43,27.53,outer_slope,outer_slope,moderate_slope,2,3.5,0,0,0,6,0,0,0,10,7,1,0,53,0,1,0,0,0,6
ASHM-01,49,27.34,outer_slope,outer_slope,flat,0,1,0,0,0,1,0,0,0,10,2,1,0,2,0,0,0,0,0,1
ASHM-01,52,27.28,outer_slope,outer_slope,gentle_slope,1,1,0,0,0,0,0,0,0,2,3,0,1,12,0,0,0,0,0,0
ASHM-01,53,27.28,outer_slope,outer_slope,gentle_slope,1,1,0,0,0,0,0,0,6,23,10,0,2,44,0,0,0,0,0,0
ASHM-01,55,27.28,outer_slope,outer_slope,flat,0,0,0,0,0,0,0,0,0,5,28,0,0,8,0,0,0,0,0,0
ASHM-01,55,27.28,outer_slope,outer_slope,gentle_slope,1,1,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0
ASHM-02,37,28.68,outer_slope,outer_slope,wall,4,2,1,0,0,2,3,0,5,6,2,0,1,45,1,0,0,0,0,7
ASHM-02,42,28.59,outer_slope,outer_slope,gentle_slope,1,0,0,0,0,0,0,0,2,21,1,1,0,6,0,0,5,0,0,0
ASHM-02,47,28.68,outer_slope,outer_slope,flat,0,0,0,0,0,0,0,0,0,1,2,2,0,61,0,0,0,0,0,0
