Site,Depth_m,Temperature,Habitat,Habitat_simplified,Aspect_descriptive,Aspect_scale,Benthic_Complexity,browser,cleaner,corallivore,cropper/grazer,detritivore,excavator,macro-invertivore,micro-invertivore,NA,pisci-invertivore,piscivore,planktivore,scraper,spongivore,omnivore,invertivore-sessile,invertivore-mobile,All_herbs
ASHM-01,31,28.62,outer_slope,outer_reef,moderate_slope,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,37,28.65,outer_slope,outer_reef,gentle_slope,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,38,28.64,outer_slope,outer_reef,gentle_slope,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,43,27.53,outer_slope,outer_reef,moderate_slope,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,49,27.34,outer_slope,outer_reef,flat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,52,27.28,outer_slope,outer_reef,gentle_slope,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,53,27.28,outer_slope,outer_reef,gentle_slope,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,55,27.28,outer_slope,outer_reef,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,55,27.28,outer_slope,outer_reef,gentle_slope,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,37,28.68,outer_slope,outer_reef,wall,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,42,28.59,outer_slope,outer_reef,gentle_slope,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,47,28.68,outer_slope,outer_reef,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,53,28.63,outer_slope,outer_reef,flat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,58,27.55,outer_slope,outer_reef,flat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,65,27.12,outer_slope,outer_reef,gentle_slope,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,67.5,26.35,outer_slope,outer_reef,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-03,65,28.05,outer_slope,outer_reef,gentle_slope,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-03,73.2,26.93,outer_slope,outer_reef,gentle_slope,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,17.5,28.56,outer_slope,outer_reef,gentle_slope,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,20,28.56,outer_slope,outer_reef,gentle_slope,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,32,28.63,outer_slope,outer_reef,moderate_slope,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
