Site,Depth_m,Depth_group2,Depth_group,Habitat,Habitat_simplified,Aspect_descriptive,browser,cleaner,corallivore,cropper,detritivore,excavator,invertivore-mobile,invertivore-sessile,macro-invertivore,micro-invertivore,NA,omnivore,pisci-invertivore,piscivore,planktivore,scraper,spongivore
ASHM-01,31,40,Upper_meso,outer_slope,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,37,40,Upper_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,38,40,Upper_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,43,50,Upper_meso,outer_slope,outer_slope,moderate_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,49,50,Upper_meso,outer_slope,outer_slope,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,52,60,Upper_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,53,60,Upper_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,55,60,Upper_meso,outer_slope,outer_slope,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,55,60,Upper_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,37,40,Upper_meso,outer_slope,outer_slope,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,42,50,Upper_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,47,50,Upper_meso,outer_slope,outer_slope,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,53,60,Upper_meso,outer_slope,outer_slope,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,58,60,Upper_meso,outer_slope,outer_slope,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,65,70,Lower_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,67.5,70,Lower_meso,outer_slope,outer_slope,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-03,65,70,Lower_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-03,73.2,80,Lower_meso,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,17.5,20,Shallow,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,20,20,Shallow,outer_slope,outer_slope,gentle_slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
