Site,Depth_m,Depth_group,Depth_categorical,Habitat,Aspect_descriptive,browser,corallivore,cropper/grazer,detritivore,excavator,invertivore-mobile,invertivore-sessile,macro-invertivore,micro-invertivore,NA,omnivore,pisci-invertivore,piscivore,planktivore,scraper,spongivore
BOUG-01,22.3,30m,Shallow,outer_reef,wall,0,14.2411,11.2203,0,0,0,0,22.565,9.25595,0,0,0,0,13.74833684,0,13.565
BOUG-01,28.5,30m,Shallow,outer_reef,wall,0,12.5947,27.654,0,0,0,0,16.5342,11.2281,16.19232,0,31.5284,0,13.82337273,0,0
BOUG-01,35.1,40m,Upper_meso,outer_reef,wall,0,0,19.5535,12.7533,0,0,0,0,16.4,16.7972,0,33.8837,0,8.685094737,0,0
BOUG-01,36.4,40m,Upper_meso,outer_reef,wall,0,11.0774,35.0662,0,0,0,0,0,8.65245,11.19373333,8.32095,38.708,0,9.719996667,20.0867,0
BOUG-01,38.6,40m,Upper_meso,outer_reef,wall,0,8.2612,0,0,0,0,0,0,0,0,8.9061,0,0,8.158176923,0,0
BOUG-01,43.7,50m,Upper_meso,outer_reef,steep_slope,0,0,0,0,0,0,0,14.475,23.654,15.1555,0,0,0,11.02170741,0,0
BOUG-01,45,50m,Upper_meso,outer_reef,wall,0,0,0,0,0,0,0,9.5,17.79,12.8644,0,14.72775,0,9.544152174,0,0
BOUG-01,45.5,50m,Upper_meso,outer_reef,steep_slope,0,13.64495,16.5919,0,0,0,0,21.45375,15.86917778,28.1109,0,58.736475,0,13.30799231,20.6772,0
BOUG-01,47.4,50m,Upper_meso,outer_reef,wall,0,9.7139,0,0,0,0,0,19.6391,18.03166667,18.5899,0,17.6961,0,9.521468,0,0
BOUG-01,54.7,60m,Upper_meso,outer_reef,steep_slope,0,0,0,0,0,0,0,0,13.650725,40.15286667,0,16.38783333,0,9.951042857,38.765,0
BOUG-01,57.2,60m,Upper_meso,outer_reef,steep_slope,0,0,12.30033333,0,0,0,0,0,13.85261,0,0,22.49306,0,8.8275,0,0
