Site,Depth,Site_Depth,Diversity,Observed,Estimator,s.e.,LCL,UCL,Aspective_descriptive,Habitat_simplified
ASHM-01,31,ASHM-01_31,Species richness,11,13.55072464,5.595523649,11,24.51774946,moderate_slope,outer_slope
ASHM-01,37,ASHM-01_37,Species richness,6,6.62745098,2.851085904,6,12.21547667,gentle_slope,outer_slope
ASHM-01,38,ASHM-01_38,Species richness,4,5.714285714,2.061317313,4,9.754393409,gentle_slope,outer_slope
ASHM-01,43,ASHM-01_43,Species richness,3,3.416666667,1.307283404,3,5.978895057,moderate_slope,outer_slope
ASHM-01,49,ASHM-01_49,Species richness,1,1,0,1,1,flat,outer_slope
ASHM-02,37,ASHM-02_37,Species richness,6,16.71428571,5.979057107,6,28.43302231,wall,outer_slope
ASHM-02,65,ASHM-02_65,Species richness,1,1,0,1,1,gentle_slope,outer_slope
ASHM-04,17.5,ASHM-04_17.5,Species richness,2,2,0.337997669,2,2.662463258,gentle_slope,outer_slope
ASHM-04,20,ASHM-04_20,Species richness,3,3,0.567105167,3,4.111505702,gentle_slope,outer_slope
ASHM-04,32,ASHM-04_32,Species richness,5,5.458333333,2.295612665,5,9.95765148,moderate_slope,outer_slope
ASHM-04,38,ASHM-04_38,Species richness,4,4,0.753442582,4,5.476720325,steep_slope,outer_slope
ASHM-04,42,ASHM-04_42,Species richness,7,16.23076923,6.118157232,7,28.22213706,steep_slope,outer_slope
ASHM-04,45,ASHM-04_45,Species richness,8,15.52941176,7.921270739,8,31.05481713,steep_slope,outer_slope
ASHM-04,52,ASHM-04_52,Species richness,2,2,0.272659924,2,2.534403632,moderate_slope,outer_slope
BETT-01,12.6,BETT-01_12.6,Species richness,3,3.8,1.555569986,3,6.848861147,moderate_slope,outer_slope
BETT-01,21.1,BETT-01_21.1,Species richness,2,2,0.498887652,2,2.977801829,flat,outer_slope
BETT-01,32.3,BETT-01_32.3,Species richness,2,2.333333333,1.094830215,2,4.479161123,flat,outer_slope
BETT-01,40.4,BETT-01_40.4,Species richness,2,2,0.337997669,2,2.662463258,steep_slope,outer_slope
BETT-01,8.2,BETT-01_8.2,Species richness,3,3.888888889,0.827950441,3,5.511641934,steep_slope,outer_slope
BETT-01,8.3,BETT-01_8.3,Species richness,11,28.58139535,12.20092097,11,52.49476102,steep_slope,outer_slope
BOOT-01,57,BOOT-01_57,Species richness,2,2.333333333,1.286657769,2,4.855136222,steep_slope,outer_slope
BOOT-01,67,BOOT-01_67,Species richness,2,2,0.440844002,2,2.864038367,moderate_slope,outer_slope
BOUG-01,12.5,BOUG-01_12.5,Species richness,3,3.958333333,0.704545353,3,5.33921685,moderate_slope,outer_slope
BOUG-01,13.8,BOUG-01_13.8,Species richness,8,26.9,10.87372315,8,48.21210574,moderate_slope,outer_slope
BOUG-01,17.6,BOUG-01_17.6,Species richness,2,2,0.272659924,2,2.534403632,moderate_slope,outer_slope
BOUG-01,20.3,BOUG-01_20.3,Species richness,1,1,0,1,1,moderate_slope,outer_slope
BOUG-01,22.3,BOUG-01_22.3,Species richness,1,1,0,1,1,moderate_slope,outer_slope
BOUG-01,28.5,BOUG-01_28.5,Species richness,1,1,0,1,1,moderate_slope,outer_slope
BOUG-01,3.6,BOUG-01_3.6,Species richness,15,16.48965517,3.541046542,15,23.42997886,steep_slope,outer_slope
BOUG-01,35.1,BOUG-01_35.1,Species richness,3,3.833333333,1.014718769,3,5.822145576,steep_slope,outer_slope
BOUG-01,36.4,BOUG-01_36.4,Species richness,2,2.333333333,1.1483849,2,4.584126378,steep_slope,outer_slope
BOUG-01,45.5,BOUG-01_45.5,Species richness,2,2.5,0.719058728,2,3.90932921,steep_slope,outer_slope
BOUG-01,5.5,BOUG-01_5.5,Species richness,7,20.84615385,7.375067116,7,35.30101978,wall,outer_slope
BOUG-01,54.7,BOUG-01_54.7,Species richness,1,1,0,1,1,wall,outer_slope
BOUG-01,57.2,BOUG-01_57.2,Species richness,1,1,0,1,1,wall,outer_slope
BOUG-01,57.8,BOUG-01_57.8,Species richness,2,2.5,0.714142843,2,3.899694252,wall,outer_slope
BOUG-01,58.1,BOUG-01_58.1,Species richness,3,3.833333333,1.160327596,3,6.107533631,wall,outer_slope
BOUG-01,65,BOUG-01_65,Species richness,1,1,0,1,1,wall,outer_slope
BOUG-01,66.3,BOUG-01_66.3,Species richness,3,4.5,2.128895716,3,8.67255893,wall,outer_slope
BOUG-01,66.7,BOUG-01_66.7,Species richness,2,2.5,0.703239258,2,3.878323619,wall,outer_slope
BOUG-01,67.8,BOUG-01_67.8,Species richness,1,1,0,1,1,wall,outer_slope
BOUG-01,7.5,BOUG-01_7.5,Species richness,10,11.44,5.209422717,10,21.65028091,wall,outer_slope
BOUG-01,76.4,BOUG-01_76.4,Species richness,1,1,0,1,1,steep_slope,outer_slope
BOUG-01,81.9,BOUG-01_81.9,Species richness,1,1,0,1,1,steep_slope,outer_slope
BOUG-01,85.7,BOUG-01_85.7,Species richness,1,1,0,1,1,wall,outer_slope
BOUG-01,9.3,BOUG-01_9.3,Species richness,8,17.62962963,6.55861045,8,30.4842699,wall,outer_slope
BOUG-02,13.4,BOUG-02_13.4,Species richness,6,13.11111111,6.475001956,6,25.80188174,wall,outer_slope
BOUG-02,15.4,BOUG-02_15.4,Species richness,3,5,1.428961306,3,7.800712696,wall,outer_slope
BOUG-02,22.3,BOUG-02_22.3,Species richness,7,18.25,7.524538041,7,32.99782356,wall,outer_slope
BOUG-02,24.2,BOUG-02_24.2,Species richness,2,2.5,0.714142843,2,3.899694252,wall,outer_slope
BOUG-02,24.8,BOUG-02_24.8,Species richness,3,5,1.345066222,3,7.636281353,steep_slope,outer_slope
BOUG-02,27.3,BOUG-02_27.3,Species richness,4,6.5,2.646949942,4,11.68792656,wall,outer_slope
BOUG-02,28.4,BOUG-02_28.4,Species richness,4,8.5,2.262205949,4.066157814,12.93384219,wall,outer_slope
BOUG-02,31.1,BOUG-02_31.1,Species richness,11,45.10526316,19.31287522,11,82.95780303,moderate_slope,outer_slope
BOUG-02,32.5,BOUG-02_32.5,Species richness,5,5.933333333,2.106269275,5,10.06154525,steep_slope,outer_slope
BOUG-02,33.1,BOUG-02_33.1,Species richness,1,1,0,1,1,wall,outer_slope
BOUG-02,44.9,BOUG-02_44.9,Species richness,1,1,0,1,1,wall,outer_slope
BOUG-02,45,BOUG-02_45,Species richness,1,1,0,1,1,moderate_slope,outer_slope
BOUG-02,45.8,BOUG-02_45.8,Species richness,2,2.333333333,1.220770488,2,4.725999523,steep_slope,outer_slope
BOUG-02,47.6,BOUG-02_47.6,Species richness,1,1,0,1,1,steep_slope,outer_slope
BOUG-02,52.1,BOUG-02_52.1,Species richness,3,4.5,2.090043738,3,8.596410453,steep_slope,outer_slope
BOUG-02,53.6,BOUG-02_53.6,Species richness,3,5,1.367836405,3,7.680910091,moderate_slope,outer_slope
BOUG-02,55.3,BOUG-02_55.3,Species richness,7,14.42857143,5.594921125,7,25.39441533,moderate_slope,outer_slope
BOUG-02,57.7,BOUG-02_57.7,Species richness,1,1,0,1,1,moderate_slope,outer_slope
BOUG-02,58.4,BOUG-02_58.4,Species richness,1,1,0,1,1,moderate_slope,outer_slope
BOUG-02,63,BOUG-02_63,Species richness,1,1,0,1,1,wall,outer_slope
BOUG-02,64.5,BOUG-02_64.5,Species richness,2,2,0.472581563,2,2.926242843,steep_slope,outer_slope
BOUG-02,67.1,BOUG-02_67.1,Species richness,4,7.6,2.935189495,4,13.3528657,steep_slope,outer_slope
