Site,Depth_m,Depth_Group1,Depth_Group2,Temperature,Habitat,Aspect_descriptive,Aspect_scale,Benthic_Complexity,Kyphosus cinerascens,Kyphosus vaigiensis,Naso brachycentron,Naso lituratus,Naso tonganus,Naso unicornis,Acanthurus auranticavus,Acanthurus blochii,Acanthurus dussumieri,Acanthurus fowleri,Acanthurus grammoptilus,Acanthurus guttatus,Acanthurus leucocheilus,Acanthurus lineatus,Acanthurus nigricans,Acanthurus nigricauda,Acanthurus nigrofuscus,Acanthurus nigroris,Acanthurus pyroferus,Acanthurus triostegus,Acanthurus xanthopterus,Centropyge bicolor,Centropyge bispinosa,Centropyge flavissima,Centropyge heraldi,Centropyge loriculus,Centropyge tibicen,Centropyge vrolikii,Hipposcarus longiceps,Plectroglyphidodon johnstonianus,Plectroglyphidodon lacrymatus,Siganus argenteus,Siganus fuscescens,Siganus punctatissimus,Siganus stellatus,Stegastes fasciolatus,Zebrasoma scopas,Zebrasoma velifer,Acanthurus olivaceus,Ctenochaetus binotatus,Ctenochaetus cyanocheilus,Ctenochaetus striatus,Bolbometopon muricatum,Cetoscarus ocellatus,Chlorurus bleekeri,Chlorurus frontalis,Chlorurus microrhinos,Chlorurus spilurus,Scarus rubroviolaceus,Scarus altipinnis,Scarus chameleon,Scarus dimidiatus,Scarus festivus,Scarus flavipectoralis,Scarus forsteni,Scarus frenatus,Scarus ghobban,Scarus globiceps,Scarus longipinnis,Scarus niger,Scarus oviceps,Scarus psittacus,Scarus rivulatus,Scarus schlegeli,Scarus spinus,Scarus tricolor
ASHM-01,31,30-40m,Upper_meso,28.62,outer_slope,moderate_slope,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0
ASHM-01,37,30-40m,Upper_meso,28.65,outer_slope,gentle_slope,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ASHM-01,38,30-40m,Upper_meso,28.64,outer_slope,gentle_slope,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,43,40-50m,Upper_meso,27.53,outer_slope,moderate_slope,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,49,40-50m,Upper_meso,27.34,outer_slope,flat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,37,30-40m,Upper_meso,28.68,outer_slope,wall,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-02,65,60-70m,Lower_meso,27.12,outer_slope,gentle_slope,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,17.5,10-20m,Shallow,28.56,outer_slope,gentle_slope,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,20,10-20m,Shallow,28.56,outer_slope,gentle_slope,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,32,30-40m,Upper_meso,28.63,outer_slope,moderate_slope,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,38,30-40m,Upper_meso,28.72,outer_slope,steep_slope,3.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,42,40-50m,Upper_meso,28.62,outer_slope,steep_slope,3.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,45,40-50m,Upper_meso,28.39,outer_slope,steep_slope,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
ASHM-04,52,50-60m,Upper_meso,27.51,outer_slope,moderate_slope,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETT-01,8.2,0-10m,Shallow,25.3,outer_reef,flat,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETT-01,8.3,0-10m,Shallow,25.3,outer_reef,flat,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,16,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETT-01,12.6,10-20m,Shallow,25.3,outer_reef,gentle_slope,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BETT-01,21.1,20-30m,Shallow,25.4,outer_reef,flat,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETT-01,32.3,30-40m,Upper_meso,25.4,outer_reef,flat,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETT-01,40.4,30-40m,Upper_meso,25.4,outer_reef,steep_slope,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOOT-01,57,50-60m,Upper_meso,27.21,outer_slope,steep_slope,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BOOT-01,67,60-70m,Lower_meso,27.07,outer_slope,moderate_slope,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
BOUG-01,3.6,0-10m,Shallow,27.4,outer_reef,steep_slope,3,2.5,0,0,0,0,0,1,0,13,5,0,55,2,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,4,0,26,0,0,0,0,9,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,5.5,0-10m,Shallow,27.4,outer_reef,wall,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BOUG-01,7.5,0-10m,Shallow,27.4,outer_reef,wall,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,4,0,2,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
