Site,Depth_Group2,Aspect_descriptive,Aspect_descriptive2,Kyphosus cinerascens,Kyphosus vaigiensis,Naso brachycentron,Naso lituratus,Naso tonganus,Naso unicornis, Acanthurus auranticavus,Acanthurus blochii,Acanthurus dussumieri,Acanthurus fowleri, Acanthurus grammoptilus,Acanthurus guttatus,Acanthurus leucocheilus,Acanthurus lineatus,Acanthurus nigricans,Acanthurus nigricauda,Acanthurus nigrofuscus,Acanthurus nigroris,Acanthurus pyroferus,Acanthurus triostegus,Acanthurus xanthopterus,Centropyge bicolor,Scarus tricolor,Scarus spinus,Scarus schlegeli, Scarus rivulatus,Scarus psittacus,Scarus oviceps,Scarus niger,Scarus longipinnis,Scarus globiceps,Scarus ghobban,Scarus frenatus,Scarus forsteni,Scarus flavipectoralis,Scarus festivus,Scarus chameleon,Scarus dimidiatus,Scarus altipinnis,Scarus rubroviolaceus,Chlorurus spilurus,Chlorurus microrhinos,Chlorurus frontalis,Chlorurus bleekeri,Cetoscarus ocellatus,Bolbometopon muricatum,Ctenochaetus striatus,Ctenochaetus cyanocheilus,Ctenochaetus binotatus,Acanthurus olivaceus,Zebrasoma velifer,Zebrasoma scopas,Stegastes fasciolatus,Siganus stellatus,Siganus punctatissimus,Siganus fuscescens,Siganus argenteus,Plectroglyphidodon lacrymatus,Plectroglyphidodon johnstonianus,Hipposcarus longiceps,Centropyge vrolikii,Centropyge tibicen,Centropyge loriculus,Centropyge heraldi,Centropyge flavissima,Centropyge bispinosa
ASHM-01,Upper_meso,flat,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-01,Upper_meso,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,3
ASHM-01,Upper_meso,moderate_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6
ASHM-02,Lower_meso,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ASHM-02,Upper_meso,wall,wall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHM-04,Shallow,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ASHM-04,Upper_meso,moderate_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
ASHM-04,Upper_meso,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
BETT-01,Shallow,flat,flat,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,1,0,24,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
BETT-01,Shallow,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETT-01,Upper_meso,flat,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETT-01,Upper_meso,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOOT-01,Lower_meso,moderate_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BOOT-01,Upper_meso,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-01,Lower_meso,steep_slope,slope,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
BOUG-01,Lower_meso,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BOUG-01,Shallow,steep_slope,slope,0,0,0,0,0,1,0,16,5,0,55,2,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,3,9,0,0,0,0,26,0,4,0,2,16,0,0,0,0,0,0,0,1,0,0,0,0,0,2
BOUG-01,Shallow,wall,wall,33,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,3,0,12,0,0,3,4,3,0,0,0,0,0,0,0,2,2,0,0,0,0,3
BOUG-01,Upper_meso,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
BOUG-01,Upper_meso,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
BOUG-02,Lower_meso,steep_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-02,Lower_meso,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-02,Shallow,moderate_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOUG-02,Shallow,steep_slope,slope,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,1,0,0,1,0,0,0,4,0,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
BOUG-02,Shallow,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BOUG-02,Upper_meso,moderate_slope,slope,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,3,1,0,0,1,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6
BOUG-02,Upper_meso,steep_slope,slope,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BOUG-02,Upper_meso,wall,wall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,Shallow,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,Shallow,moderate_slope,slope,0,0,0,3,0,0,0,7,0,0,1,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EDIA-01,Shallow,wall,wall,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EDIA-01,Upper_meso,flat,flat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-01,Upper_meso,gentle_slope,slope,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,26,0,49,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EDIA-02,Shallow,flat,flat,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDIA-02,Shallow,gentle_slope,slope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,11,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
EDIA-02,Shallow,moderate_slope,slope,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,4,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0
EDIA-02,Shallow,steep_slope,slope,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,16,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNA-01,Lower_meso,moderate_slope,slope,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
EDNA-01,Shallow,flat,flat,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,3
